wikidata_id,wikipedia_title,status,text
Q1045541,G-funk,ok,"G-funk, short for gangsta funk, is a sub-genre of gangsta rap that emerged from the West Coast scene in the early 1990s. The genre is heavily influenced by the synthesizer-heavy 1970s funk sound of Parliament-Funkadelic (aka P-Funk), often incorporated through samples or re-recordings. It is represented by commercially successful albums such as Dr. Dre's The Chronic (1992), Snoop Dogg's Doggystyle (1993), and 2Pac's All Eyez on Me (1996)."
Q1046768,Música popular brasileira,ok,"Música popular brasileira (Portuguese pronunciation: [ˈmuzikɐ popuˈlaʁ bɾaziˈlejɾɐ], ""Brazilian popular music"") or MPB is a trend in post-bossa nova urban popular music in Brazil that revisits typical Brazilian styles such as samba, samba-canção and baião and other Brazilian regional music, combining them with foreign influences, such as jazz and rock.

This movement has produced and is represented by many Brazilian artists, such as Dorival Caymmi, Jorge Ben Jor, Caetano Veloso, Gal Costa, Djavan, Novos Baianos, Tom Jobim, Chico Buarque, Belchior and Elis Regina, whose individual styles generated their own trends within the genre. The term often also describes any kind of music with Brazilian origins and ""voice and guitar style"" that arose in the late 1960s.

Variations within MPB were the short-lived but influential artistic movement known as tropicália, and the music of samba rock."
Q1046801,Turntablism,ok,"Turntablism is the art of manipulating sounds and creating new music, sound effects, mixes, and other creative sounds and beats, typically by using two or more turntables and a cross fader-equipped DJ mixer. The mixer is plugged into a PA system (for live events) or broadcasting equipment (if the DJ is performing on radio, TV or Internet radio) so that a wider audience can hear the turntablist's music. Turntablists typically manipulate records on a turntable by moving the record with their hand to cue the stylus to exact points on a record, and by touching or moving the platter or record to stop, slow down, speed up or, spin the record backwards, or moving the turntable platter back and forth (the popular rhythmic ""scratching"" effect which is a key part of hip-hop), all while using a DJ mixer's cross-fader control and the mixer's gain and equalization controls to adjust the sound and level of each turntable. Turntablists typically use two or more turntables and headphones to cue up desired start points on different records (Greasley & Prior, 2013)."
Q104695865,Hyperpop,ok,"Hyperpop is an electronic music movement and loosely defined subgenre that originated in the early 2010s in the United Kingdom. It is characterised by an exaggerated or maximalist take on 21st century popular music tropes and typically integrates pop and avant-garde sensibilities while drawing on elements commonly found in electronic, rock, hip-hop, and dance music. The origins of hyperpop are primarily traced back to the output of English musician A. G. Cook's record label and art collective PC Music, with associated artists Sophie, GFOTY, Hayden Dunham, Hannah Diamond, and Charli XCX, helping to pioneer a musical style that was later known as ""bubblegum bass""."
Q104847619,Working on Dying,section,
Q1051575,Humppa,ok,"Humppa is a type of music from Finland. It is related to jazz and fast foxtrot, played two beats to a bar (24 or 22) at around 110 to 130 beats per minute. Humppa is also the name of a few social dances done to humppa music. All dances involve a bounce that follows the strong bass. In Finnish, the word humppa can be used for social dancing. The name humppa was invented by Antero Alpola for a radio show in the 1950s. He picked it up from German Oktoberfest where the locals used the word oompah to describe the music. The band probably used a tuba, as the sound of tuba on the first beat is like hump, the second beat coming as a pa."
Q1051735,Soca music,ok,"Soca music, or the ""soul of calypso"", is a genre of music that originated in Trinidad and Tobago in the 1970s. It is considered an offshoot of calypso, with influences from Afro-Trinidadian and Indo-Trinidadian rhythms. It was created by Ras Shorty I (or Lord Shorty) in an effort to revive traditional calypso, the popularity of which had been declining among younger generations in Trinidad due to the rise in popularity of reggae from Jamaica and soul and funk from the United States. From the 1980s onward, soca has developed into a range of new styles."
Q1051843,Neo-prog,ok,"Neo-progressive rock (commonly abbreviated neo-prog) is a subgenre of progressive rock that developed in the UK in the early 1980s. The genre's most popular band, Marillion, achieved mainstream success in the decade. Several bands from the genre have continued to record and tour."
Q105334717,Progressive soul,ok,"Progressive soul (often shortened to prog-soul; also called black prog, black rock, and progressive R&B) is a type of African-American music that uses a progressive approach, particularly in the context of the soul and funk genres. It developed in the late 1960s and early 1970s through the recordings of innovative black musicians who pushed the structural and stylistic boundaries of those genres. Among their influences were musical forms that arose from rhythm and blues music's transformation into rock, such as Motown, progressive rock, psychedelic soul, and jazz fusion."
Q105404852,,no article,
Q105513,Bebop,ok,"Bebop or bop is a style of jazz developed in the early to mid-1940s in the United States. It is characterized by a fast tempo, complex chord progressions—with rapid chord changes, changes of key, angular melodies and substitute chords—along with virtuosic improvisation based on a combination of harmonic structure, scales, and occasional references to the melody."
Q105527,Jazz fusion,ok,"Jazz fusion (also known as jazz rock, jazz-rock fusion, or simply fusion) is a popular music genre that developed in the late 1960s when musicians combined jazz harmony and improvisation with rock music, funk, and rhythm and blues. Electric guitars and basses, amplifiers, and keyboard instruments (including electric pianos and organs) that were popular in rock began to be used by jazz musicians, particularly those who had grown up listening to rock and roll.

Jazz fusion arrangements vary in complexity. Some employ groove-based vamps fixed to a single key or a single chord with a simple, repeated melody. Others use elaborate chord progressions, unconventional time signatures, or melodies with counter-melodies, in a similar fashion to progressive rock. These arrangements, whether simple or complex, typically include improvised sections that can vary in length, much like in other forms of jazz."
Q1055871,Japanese rock,ok,"Japanese rock (Japanese: 日本のロック, Hepburn: Nihon no Rokku), sometimes abbreviated to J-rock (ジェイ・ロック, Jei Rokku), is rock music from Japan. Influenced by American and British rock of the 1960s, the first rock bands in Japan performed what is called group sounds, with lyrics almost exclusively in English. Folk rock band Happy End in the early 1970s are credited as the first to sing rock music in the Japanese language. Punk rock bands Boøwy and The Blue Hearts and hard rock/heavy metal groups X Japan and B'z led Japanese rock in the late 1980s and early 1990s by achieving major mainstream success.

Rock bands such as B'z and Mr. Children are among the best selling music acts in Japan. Rock festivals like the Fuji Rock Festival were introduced in the late 90s with attendances reaching a peak of 200,000 people per festival making it the largest outdoor music event in the country."
Q105637110,Styles of house music,section,
Q105697765,,no article,
Q105697818,,no article,
Q105756581,,no article,
Q105757139,,no article,
Q105763581,,no article,
Q105883401,Takamba,ok,Takamba is a music and dance native to the Songhai and Tuareg peoples of Niger and Mali. It is both a musical composition and a dance. The musicians play a traditional instrument known as the Kurbu or Tehardent and a traditional African Calabash. The Takamba dance includes graceful and rhythmic movements performed both seated and standing where the shoulders and arms sway with the flow of the music.
Q1060475,Chamamé,ok,"Chamamé (Guarani for: party, disorder) is a folk music genre from northeast Argentina and Argentine Mesopotamia. In 2020, chamamé was inscribed in UNESCO's Intangible cultural heritage list after it was nominated by Argentina in 2018.

Chamamé is also a traditional musical style appreciated in borders zone of South America, as Paraguay and Uruguay

Jesuit reductions in the area encouraged cultural growth that lasted until the Jesuits were expelled by the Spanish Crown in the late 18th century. Within this area, Yapeyú, Corrientes was a centre of musical culture that many point to as the birthplace of the original chamamé. Further mixing with instruments such as the Spanish guitar, then the violin and the accordion, finally resulted in what is currently known as ""chamamé"". There are recordings of chamamé dating back to the early 20th century, and the term ""chamamé"" was already used in 1931; this type of music, prior to that, was often referred to as the Corrientes polka."
Q1061165,Champeta,ok,"Champeta, also known as terapia, is a musical genre and dance that originated in the Caribbean coast of Colombia in the early 1980s. It developed from an earlier style termed chalusonga, which originated in Palenque de San Basilio in the mid-1970s. Chalusonga was a combination of Colombian chalupa and Afro-Cuban percussive music popularized by Estrellas del Caribe. When their music reached Cartagena de Indias, it evolved into champeta, which became a movement and identity among Afro-Colombians. It shows influences from African colonial settlements and from contemporary African culture, particularly from the Democratic Republic of the Congo."
Q106130091,Post-dubstep,ok,"Post-dubstep is an umbrella term applied to a range of musical styles that have been influenced by the sparse, syncopated rhythms and heavy sub-bass of the UK dubstep scene.

The breadth of styles associated with the term post-dubstep precluded it from being a specific musical genre in the early 2010s. Such music often references earlier dubstep productions as well as UK garage, 2-step and other forms of underground electronic dance music. Artists producing music that has been described as post-dubstep have also incorporated elements of ambient music and early 2000s R&B. The latter in particular is heavily sampled by two artists described as defining post-dubstep, Mount Kimbie and James Blake."
Q1062199,Changüí,ok,"Changüí (Spanish pronunciation: [tʃaŋˈɡwi]) is a style of Cuban music which originated in the early 19th century in the eastern region of Guantánamo Province, specifically Baracoa. It arose in the sugar cane refineries and in the rural communities populated by slaves.

Changüí combines the structure and elements of Spain's canción and the Spanish guitar with African rhythms and percussion instruments of African origin. Changüí is considered a predecessor of son montuno (the ancestor of modern salsa), which has enjoyed tremendous popularity in Cuba throughout the 20th century.

Changüí is related to the other regional genres of nengón and kiribá and is descended from nengón. Technically, the changüi ensemble consists of: marímbula, bongos, tres, güiro (or guayo) and one or more singers. Changüi does not use the Cuban key pattern (or guide pattern) known as clave. The tres typically plays offbeat guajeos (ostinatos), while the guayo plays on the beat."
Q1062400,Chanson,ok,"A chanson (UK:, US:; French: chanson française [ʃɑ̃sɔ̃ fʁɑ̃sɛːz], lit. 'French song') is generally any lyric-driven French song. The term is most commonly used in English to refer either to the secular polyphonic French songs of late medieval and Renaissance music or to a specific style of French pop music which emerged in the 1950s and 1960s. The genre had origins in the monophonic songs of troubadours and trouvères, though the only polyphonic precedents were 16 works by Adam de la Halle and one by Jehan de Lescurel. Not until the ars nova composer Guillaume de Machaut did any composer write a significant number of polyphonic chansons."
Q106298881,Contemporary folk music,ok,"Contemporary folk music refers to a wide variety of genres that emerged in the mid-20th century and afterwards which were associated with traditional folk music. Starting in the mid-20th century, a new form of popular folk music evolved from traditional folk music. This process and period is called the (second) folk revival and reached a zenith in the 1960s. The most common name for this new form of music is also ""folk music"", but is often called ""contemporary folk music"" or ""folk revival music"" to make the distinction. The transition was somewhat centered in the United States and is also called the American folk music revival. Fusion genres such as folk rock and others also evolved within this phenomenon. While contemporary folk music is a genre generally distinct from traditional folk music, it often shares the same English name, performers and venues as traditional folk music; even individual songs may be a blend of the two."
Q1063010,Character piece,ok,"A character (or ""characteristic"") piece is a musical composition which is expressive of a specific mood or non-musical idea."
Q106369996,Wave music,ok,"Wave is a genre of bass music and a visual art style that emerged in the early 2010s in online communities. It is characterized by atmospheric melodies and harmonies, melodic and heavy bass such as reese, modern trap drums, chopped vocal samples processed with reverb and delay, and arpeggiators. Visually, it incorporates computer-generated imagery and animation, and imagery from video games and cartoons.

Wave music originated on online music platforms from a small group of DIY artists. Since then, wave music uploaded to streaming platforms such as YouTube has gathered millions of plays, which is partially attributable to the genre's broad influences. Since 2016, the wave scene has experienced an increase in physical events. From 2017 onward, the genre further incorporated elements of trance and hardstyle, leading to the emergence of the hardwave subgenre."
Q106388388,Wave music,section,
Q106404229,,no article,
Q106404300,,no article,
Q106422444,,no article,
Q106424145,,no article,
Q106477753,New beat,section,
Q106493832,Styles of house music,section,
Q106514601,,no article,
Q106520965,,no article,
Q106521662,,no article,
Q106521759,,no article,
Q106522080,Bleep techno,ok,"Bleep techno (or simply bleep) is a regional subgenre of techno which developed in the late 1980s in Northern England, particularly Yorkshire. Named after its minimalistic synthesizer sounds, bleep techno combined influence from American techno and house with electro elements and heavy sub-bass inspired by reggae sound system culture. The style was commercially successful between 1989 and 1991, and became associated with artists on the Sheffield label Warp Records. It has been characterized as the first unique British style of electronic dance music."
Q106522098,,no article,
Q106522115,Swamp pop,ok,"Swamp pop is a music genre indigenous to the Acadiana region of south Louisiana and an adjoining section of southeast Texas. Created in the 1950s by young Cajuns and Creoles, it combines New Orleans–style rhythm and blues, country and western, and traditional French Louisiana musical influences. Although a fairly obscure genre, swamp pop maintains a large audience in its south Louisiana and southeast Texas homeland, and it has acquired a small but passionate cult following in the United Kingdom, and Northern Europe."
Q106522190,,no article,
Q106522238,,no article,
Q106528420,,no article,
Q106528422,,no article,
Q106558878,,no article,
Q106561868,Nashville sound,section,
Q106562392,,no article,
Q106576145,,no article,
Q106576261,,no article,
Q106577108,New beat,section,
Q106577542,,no article,
Q106581470,Surf music,ok,"Surf rock (also known as surf pop, surf music, or surf guitar) is a genre of rock and roll associated with surf culture, particularly as found in Southern California. It was especially popular from 1958 to 1964 in two major forms. The first is instrumental surf, distinguished by reverb-heavy electric guitars played to evoke the sound of crashing waves, largely pioneered by Dick Dale and His Del-Tones. The second is vocal surf, which took elements of the original surf sound and added vocal harmonies, a movement led by the Beach Boys.

Dick Dale developed the surf sound from instrumental rock, where he added Middle Eastern and Mexican influences, a spring reverb, and rapid alternate picking characteristics. His regional hit ""Let's Go Trippin'"", in 1961, launched the surf music craze, inspiring many others to take up the approach.

The genre reached national exposure when it was represented by vocal groups such as the Beach Boys and Jan and Dean. Dale was quoted on such groups: ""They were surfing sounds [with] surfing lyrics. In other words, the music wasn't surfing music. The words made them surfing songs. [...] That was the difference [...] the real surfing music is instrumental."""
Q106581777,,no article,
Q106582942,,no article,
Q106582953,,no article,
Q106583068,Dreampunk,ok,"Dreampunk is a microgenre of electronic music characterized by its focus on cinematic ambience and field recordings, combined with various traits and techniques from electronic genres such as techno, jungle, electro, and dubstep."
Q106586236,,no article,
Q106586998,,no article,
Q106588727,,no article,
Q106591506,Hyperpop,section,
Q106594102,,no article,
Q106594174,,no article,
Q106594177,,no article,
Q106594706,,no article,
Q106594784,Sass (music),ok,"Sass, or white belt hardcore, is a broadly-defined subgenre of post-hardcore that merges screamo with elements of dance-punk and post-punk. Characterized by erratic stage performances, flamboyant mannerisms, homoerotic lyrical content, dance beats and lisping vocals, the genre was pioneered during the late 1990s.

During its initial popularity, sass was defined more by its lyrical, aesthetic and performance elements, rather than music. In particular, it was split into a series of distinct musical styles: the mainline post-punk and screamo-inspired post-hardcore sass of the Blood Brothers, the VSS and the Plot to Blow Up the Eiffel Tower; the dance punk-leaning girlfriend sass sound of Q and Not U, Hot Hot Heat and !!!; the screamo-leaning sassy screamo music of JR Ewing and later Orchid; and the mathcore and grindcore influenced white belt grind sound of the Locust, an Albatross and early Daughters."
Q106594814,,no article,
Q106594830,,no article,
Q106621063,,no article,
Q106621114,,no article,
Q106634508,,no article,
Q106634883,Kulintang,ok,"Kulintang (Indonesian: kolintang, Malay: kulintangan)

is a modern term for an ancient instrumental form of music composed on a row of small, horizontally laid gongs that function melodically, accompanied by larger, suspended gongs and drums.

As part of the larger gong-chime culture of Southeast Asia, kulintang music ensembles have been playing for many centuries in regions of the Southern Philippines, Eastern Malaysia, Eastern Indonesia, Brunei and Timor, Kulintang evolved from a simple native signaling tradition, and developed into its present form with the incorporation of knobbed gongs from Sundanese people in Java Island, Indonesia. Its importance stems from its association with the indigenous cultures that inhabited these islands prior to the influences of Hinduism, Buddhism, Islam, Christianity or the West, making kulintang the most developed tradition of Southeast Asian archaic gong-chime ensembles."
Q106634926,,no article,
Q106634944,,no article,
Q106634987,Music of China,section,
Q106636283,,no article,
Q106636289,,no article,
Q106641525,,no article,
Q106641530,,no article,
Q106641536,,no article,
Q106642137,Dark ambient,ok,"Dark ambient (originally known as ambient industrial) is a subgenre of ambient and post-industrial music, that originally emerged in the mid-1980s. It is characterized by ominous, dark drones, discordant overtones and a gloomy, monumental or catacomb-inspired atmosphere. Although mostly an electronic genre, artists frequently sample traditional instruments and make use of semi-acoustic recording procedures."
Q106654134,,no article,
Q106654136,,no article,
Q106654137,,no article,
Q106654144,,no article,
Q106654239,,no article,
Q106654247,,no article,
Q106810831,,no article,
Q106839582,,no article,
Q106839650,,no article,
Q106876075,,no article,
Q106876903,,no article,
Q106917640,,no article,
Q107010574,,no article,
Q107010629,,no article,
Q107123896,,no article,
Q1071873,Chicago blues,ok,"Chicago blues is a form of blues music that developed in Chicago, Illinois. It is based on earlier blues idioms, such as Delta blues, but is performed in an urban style. It developed alongside the Great Migration of African Americans of the first half of the twentieth century. Key features that distinguish Chicago blues from the earlier traditions, such as Delta blues, are the prominent use of electrified instruments (especially the electric guitar), and the use of electronic effects, such as distortion and overdrive."
Q107194780,Break-in record,ok,"A break-in record is a novelty record which combines spoken word comedy with clips of popular music to create a humorous effect. The subject matter is often inspired by contemporary events or elements of popular culture such as television shows and films. Such comedy recordings were popular in the United States for several decades beginning in 1956 with ""The Flying Saucer"" by Dickie Goodman and Bill Buchanan."
Q107195014,,no article,
Q1071961,Chicago house,ok,"Chicago house refers to house music produced during the mid to late 1980s within Chicago. The term is generally used to refer to the original house music of DJs and producers from the area, such as Ron Hardy and Phuture."
Q107197766,,no article,
Q107254577,,no article,
Q107254627,,no article,
Q107267446,,no article,
Q107267643,,no article,
Q107332291,,no article,
Q107407607,,no article,
Q107455228,,no article,
Q1074569,Chipmunk soul,ok,"Chipmunk soul is a style of hip hop that features sped-up vocal samples, originating in the 2000s. The genre was popularized by Kanye West in his albums The College Dropout, Late Registration and Graduation, which notably were heavy in high-pitched vocals, especially in the songs ""Spaceship"" and ""Through the Wire"". Early users of the style included Just Blaze, RZA, and DJ Premier.

The name ""chipmunk"" is a reference to Alvin and the Chipmunks, a 1960s musical act featuring sped-up high-pitched vocal recordings.

Although the style originated by sampling soul music recordings, the term ""chipmunk soul"" includes the use of samples from other musical genres including reggae, rock and world music."
Q107515261,Digicore,ok,"Digicore (originally known as draincore) is an Internet microgenre of hip-hop and electronic music that developed alongside hyperpop in the late 2010s to early 2020s. The genre is typically made up of artists that share stylistic similarities to Drain Gang and 100 gecs, rather than the ""bubblegum bass"" musicians signed to the label PC Music. It chiefly draws influence from trap, emo rap, nightcore and cloud rap.

During the late 2010s, the style initially emerged as a Drain Gang-inspired form of online rap music known as ""draincore"". In 2018, Dalton, a figure in the digicore scene, started a Minecraft and Discord server called ""Loser's Club"", which became a hub for several of the most popular artists within the digicore scene such as Quinn, Kmoe, Glaive, Ericdoa and Midwxst. The early scene was centered around SoundCloud collectives such as Blackwinterwells' Helix Tears and Prblm's Novagang. Other notable groups include Bloodhounds, Slowsilver03, Graveem1nd, Co-op, Varsity and Goonncity."
Q1075338,Jug band,ok,"A jug band is a band employing a jug player and a lineup of players of other instruments, both conventional and homemade. The homemade instruments are most often ordinary objects adapted to or modified for making sound, like the washtub bass, washboard, spoons, bones, stovepipe, jew's harp, and comb and tissue paper. The term 'jug band' is loosely used to mean any ensemble that incorporates homemade instruments, but those without a jug player are more accurately termed skiffle bands, spasm bands, or juke (or jook) bands (see juke joint)."
Q107539904,,no article,
Q107565104,Music of the Philippines,section,
Q1076092,Technical death metal,ok,"Technical death metal (also known as tech death) is a musical subgenre of death metal with particular focus on instrumental skill and complex songwriting. Technical and progressive experimentation in death metal began in the late 1980s and early 1990s, largely driven by four bands that, according to Allmusic, are ""technical death metal's Big Four"" – Death, Pestilence, Atheist, and Cynic. All but Pestilence are part of the Florida death metal scene, to which Nocturnus, another influential band, also belongs."
Q1076539,Choro,ok,"Choro (Portuguese pronunciation: [ˈʃoɾu], ""cry"" or ""lament""), also popularly called chorinho (""little cry"" or ""little lament""), is an instrumental Brazilian popular music genre which originated in 19th century Rio de Janeiro. Despite its name, the music often has a fast and happy rhythm. It is characterized by virtuosity, improvisation and subtle modulations, and is full of syncopation and counterpoint. Choro is considered the first characteristically Brazilian genre of urban popular music. The serenaders who play choros are known as chorões."
Q107697041,,no article,
Q107697201,,no article,
